Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.02018820000000,0.01310000000000,3.35330000000000,1,Hardware: Independent Flip,0.14930000000000,0.14930000000000,3.31430000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.02334790000000,0.01110000000000,3.15970000000000,1,Hardware: Independent Flip,0.14450000000000,0.14450000000000,3.15490000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.02659820000000,0.01140000000000,3.25030000000000,1,Hardware: Independent Flip,0.13740000000000,0.13740000000000,3.24320000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.02984660000000,0.02090000000000,3.24840000000000,1,Hardware: Independent Flip,0.14540000000000,0.14540000000000,3.25640000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.03304730000000,0.01140000000000,3.20070000000000,1,Hardware: Independent Flip,0.17180000000000,0.17180000000000,3.22710000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.03628750000000,0.01100000000000,3.24020000000000,1,Hardware: Independent Flip,0.14950000000000,0.14950000000000,3.21790000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.03942630000000,0.01260000000000,3.13880000000000,1,Hardware: Independent Flip,0.14170000000000,0.14170000000000,3.13100000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.04253940000000,0.01030000000000,3.11310000000000,1,Hardware: Independent Flip,0.13500000000000,0.13500000000000,3.10640000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.04575710000000,0.01060000000000,3.21770000000000,1,Hardware: Independent Flip,0.13720000000000,0.13720000000000,3.21990000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.04895050000000,0.01700000000000,3.19340000000000,1,Hardware: Independent Flip,0.31000000000000,0.31000000000000,3.36620000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.05238020000000,0.01380000000000,3.42970000000000,1,Hardware: Independent Flip,0.16080000000000,0.16080000000000,3.28050000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.05567680000000,0.01200000000000,3.29660000000000,1,Hardware: Independent Flip,0.14650000000000,0.14650000000000,3.28230000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.05894030000000,0.01920000000000,3.26350000000000,1,Hardware: Independent Flip,0.14550000000000,0.14550000000000,3.26250000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.06210650000000,0.01040000000000,3.16620000000000,1,Hardware: Independent Flip,0.13790000000000,0.13790000000000,3.15860000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.06531800000000,0.01460000000000,3.21150000000000,1,Hardware: Independent Flip,0.20280000000000,0.20280000000000,3.27640000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.06850310000000,0.01270000000000,3.18510000000000,1,Hardware: Independent Flip,0.18800000000000,0.18800000000000,3.17030000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.07179830000000,0.01610000000000,3.29520000000000,1,Hardware: Independent Flip,0.14170000000000,0.14170000000000,3.24890000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.07504260000000,0.01080000000000,3.24430000000000,1,Hardware: Independent Flip,0.13520000000000,0.13520000000000,3.23780000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.07846120000000,0.01730000000000,3.41860000000000,1,Hardware: Independent Flip,0.14060000000000,0.14060000000000,3.42400000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.08173180000000,0.01710000000000,3.27060000000000,1,Hardware: Independent Flip,0.16500000000000,0.16500000000000,3.29500000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.08499370000000,0.01470000000000,3.26190000000000,1,Hardware: Independent Flip,0.18620000000000,0.18620000000000,3.28310000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.08835680000000,0.01270000000000,3.36310000000000,1,Hardware: Independent Flip,0.14120000000000,0.14120000000000,3.31810000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.09149880000000,0.01080000000000,3.14200000000000,1,Hardware: Independent Flip,0.13550000000000,0.13550000000000,3.13630000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.09467000000000,0.01100000000000,3.17120000000000,1,Hardware: Independent Flip,0.13620000000000,0.13620000000000,3.17190000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.09790440000000,0.01080000000000,3.23440000000000,1,Hardware: Independent Flip,0.13770000000000,0.13770000000000,3.23590000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.10113770000000,0.01020000000000,3.23330000000000,1,Hardware: Independent Flip,0.18070000000000,0.18070000000000,3.27630000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.10441640000000,0.03370000000000,3.27870000000000,1,Hardware: Independent Flip,0.16250000000000,0.16250000000000,3.26050000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.10763080000000,0.01060000000000,3.21440000000000,1,Hardware: Independent Flip,0.14030000000000,0.14030000000000,3.19220000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.11088900000000,0.01830000000000,3.25820000000000,1,Hardware: Independent Flip,0.14250000000000,0.14250000000000,3.26040000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.11409600000000,0.09470000000000,3.20700000000000,1,Hardware: Independent Flip,0.22010000000000,0.22010000000000,3.28460000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.11740970000000,0.01100000000000,3.31370000000000,1,Hardware: Independent Flip,0.18110000000000,0.18110000000000,3.27470000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,0.12062430000000,0.01050000000000,3.21460000000000,1,Hardware: Independent Flip,0.13690000000000,0.13690000000000,3.17040000000000
